macro_code;pit_date;pit_index;pit_value;time_series_value
inflation;2009-12-31;155.0;0.007;0.007
unemployment_rate;2009-12-31;39.0;0.044;0.044
hicp;2010-01-31;;90.3;-0.0028710247349823886
inflation;2010-01-31;156.0;0.004;0.004
hicp;2010-02-28;;91.15;0.00941306755260253
inflation;2010-02-28;157.0;0.004;0.004
gdp_growth;2010-03-31;56.0;-0.001;-0.001
hicp;2010-03-31;;92.49;0.014701042238068998
hpi;2010-03-31;60.0;1.132;-0.0008826125330980688
inflation;2010-03-31;158.0;0.007;0.007
hicp;2010-04-30;;92.81;0.0034598334955131087
inflation;2010-04-30;159.0;0.007;0.007
hicp;2010-05-31;;92.72;-0.0009697230901842841
inflation;2010-05-31;160.0;0.004;0.004
gdp_growth;2010-06-30;57.0;0.019;0.019
hicp;2010-06-30;;92.11;-0.006578947368421046
hpi;2010-06-30;61.0;1.133;0.0008833922261485089
inflation;2010-06-30;161.0;0.002;0.002
hicp;2010-07-31;;91.57;-0.005862555639995725
inflation;2010-07-31;162.0;0.013;0.013
hicp;2010-08-31;;91.7;0.0014196789341488444
inflation;2010-08-31;163.0;0.012;0.012
gdp_growth;2010-09-30;58.0;0.017;0.017
hicp;2010-09-30;;92.39;0.0075245365321700945
hpi;2010-09-30;62.0;1.134;0.0008826125330978728
inflation;2010-09-30;164.0;0.014;0.014
hicp;2010-10-31;;92.61;0.0023812100876718137
inflation;2010-10-31;165.0;0.014;0.014
hicp;2010-11-30;;92.47;-0.0015117157974300893
inflation;2010-11-30;166.0;0.014;0.014
gdp_growth;2010-12-31;59.0;0.019;0.019
hicp;2010-12-31;;92.23;-0.0025954363577375896
hpi;2010-12-31;63.0;1.121;-0.011463844797178043
inflation;2010-12-31;167.0;0.018;0.018
unemployment_rate;2010-12-31;40.0;0.05;0.05
hicp;2011-01-31;;92.01;-0.0023853409953377303
inflation;2011-01-31;168.0;0.019;0.019
hicp;2011-02-28;;92.93;0.009998913161612886
inflation;2011-02-28;169.0;0.02;0.02
gdp_growth;2011-03-31;60.0;0.028;0.028
hicp;2011-03-31;;94.2;0.013666200365866738
hpi;2011-03-31;64.0;1.115;-0.005352363960749336
inflation;2011-03-31;170.0;0.018;0.018
hicp;2011-04-30;;94.77;0.006050955414012666
inflation;2011-04-30;171.0;0.021;0.021
hicp;2011-05-31;;94.84;0.0007386303682600759
inflation;2011-05-31;172.0;0.023;0.023
gdp_growth;2011-06-30;61.0;0.021;0.021
hicp;2011-06-30;;94.23;-0.0064318852804723685
hpi;2011-06-30;65.0;1.11;-0.0044843049327353305
inflation;2011-06-30;173.0;0.023;0.023
hicp;2011-07-31;;94.54;0.0032898227740634856
inflation;2011-07-31;174.0;0.032;0.032
hicp;2011-08-31;;94.65;0.001163528665115289
inflation;2011-08-31;175.0;0.032;0.032
gdp_growth;2011-09-30;62.0;0.014;0.014
hicp;2011-09-30;;95.12;0.004965662968832529
hpi;2011-09-30;66.0;1.102;-0.007207207207207213
inflation;2011-09-30;176.0;0.03;0.03
hicp;2011-10-31;;95.22;0.0010513036164843809
inflation;2011-10-31;177.0;0.028;0.028
hicp;2011-11-30;;94.84;-0.003990758244066325
inflation;2011-11-30;178.0;0.026;0.026
gdp_growth;2011-12-31;63.0;0.0;0.0
hicp;2011-12-31;;94.54;-0.0031632222690847443
hpi;2011-12-31;67.0;1.083;-0.017241379310344942
inflation;2011-12-31;179.0;0.025;0.025
unemployment_rate;2011-12-31;41.0;0.05;0.05
hicp;2012-01-31;;94.66;0.0012693039983074923
inflation;2012-01-31;180.0;0.029;0.029
hicp;2012-02-29;;95.6;0.00993027678005491
inflation;2012-02-29;181.0;0.029;0.029
gdp_growth;2012-03-31;64.0;-0.011;-0.011
hicp;2012-03-31;;96.93;0.013912133891213522
hpi;2012-03-31;68.0;1.069;-0.012927054478301028
inflation;2012-03-31;182.0;0.029;0.029
hicp;2012-04-30;;97.39;0.0047456927679768255
inflation;2012-04-30;183.0;0.028;0.028
hicp;2012-05-31;;97.17;-0.002258958825341399
inflation;2012-05-31;184.0;0.025;0.025
gdp_growth;2012-06-30;65.0;-0.006;-0.006
hicp;2012-06-30;;96.59;-0.00596892044869814
hpi;2012-06-30;69.0;1.049;-0.018709073900841925
inflation;2012-06-30;185.0;0.025;0.025
hicp;2012-07-31;;97.0;0.004244745832901921
inflation;2012-07-31;186.0;0.026;0.026
hicp;2012-08-31;;97.07;0.0007216494845360121
inflation;2012-08-31;187.0;0.026;0.026
gdp_growth;2012-09-30;66.0;-0.012;-0.012
hicp;2012-09-30;;97.54;0.004841866694138386
hpi;2012-09-30;70.0;1.007;-0.04003813155386086
inflation;2012-09-30;188.0;0.025;0.025
hicp;2012-10-31;;98.33;0.008099241336887348
inflation;2012-10-31;189.0;0.033;0.033
hicp;2012-11-30;;97.85;-0.00488152140750538
inflation;2012-11-30;190.0;0.032;0.032
gdp_growth;2012-12-31;67.0;-0.012;-0.012
hicp;2012-12-31;;97.73;-0.0012263668880939228
hpi;2012-12-31;71.0;1.001;-0.0059582919563058645
inflation;2012-12-31;191.0;0.034;0.034
unemployment_rate;2012-12-31;42.0;0.058;0.058
hicp;2013-01-31;;97.7;-0.00030696817763226374
inflation;2013-01-31;192.0;0.032;0.032
hicp;2013-02-28;;98.7;0.010235414534288638
inflation;2013-02-28;193.0;0.032;0.032
gdp_growth;2013-03-31;68.0;-0.017;-0.017
hicp;2013-03-31;;100.02;0.013373860182370752
hpi;2013-03-31;72.0;0.978;-0.02297702297702289
inflation;2013-03-31;194.0;0.032;0.032
hicp;2013-04-30;;100.1;0.0007998400319935842
inflation;2013-04-30;195.0;0.028;0.028
hicp;2013-05-31;;100.14;0.0003996003996004621
inflation;2013-05-31;196.0;0.031;0.031
gdp_growth;2013-06-30;69.0;-0.005;-0.005
hicp;2013-06-30;;99.65;-0.004893149590573146
hpi;2013-06-30;73.0;0.958;-0.020449897750511266
inflation;2013-06-30;197.0;0.032;0.032
hicp;2013-07-31;;100.0;0.0035122930255895063
inflation;2013-07-31;198.0;0.031;0.031
hicp;2013-08-31;;99.78;-0.0021999999999999884
inflation;2013-08-31;199.0;0.028;0.028
gdp_growth;2013-09-30;70.0;0.003;0.003
hicp;2013-09-30;;99.86;0.0008017638805371647
hpi;2013-09-30;74.0;0.961;0.0031315240083507334
inflation;2013-09-30;200.0;0.024;0.024
hicp;2013-10-31;;99.61;-0.0025035049068696173
inflation;2013-10-31;201.0;0.013;0.013
hicp;2013-11-30;;99.02;-0.0059231000903524084
inflation;2013-11-30;202.0;0.012;0.012
gdp_growth;2013-12-31;71.0;0.014;0.014
hicp;2013-12-31;;99.1;0.0008079175924055575
hpi;2013-12-31;75.0;0.958;-0.003121748178980232
inflation;2013-12-31;203.0;0.014;0.014
unemployment_rate;2013-12-31;43.0;0.073;0.073
hicp;2014-01-31;;98.48;-0.006256306760847531
inflation;2014-01-31;204.0;0.008;0.008
hicp;2014-02-28;;99.07;0.00599106417546699
inflation;2014-02-28;205.0;0.004;0.004
gdp_growth;2014-03-31;72.0;0.013;0.013
hicp;2014-03-31;;100.16;0.011002321590794423
hpi;2014-03-31;76.0;0.963;0.005219206680584556
inflation;2014-03-31;206.0;0.001;0.001
hicp;2014-04-30;;100.74;0.0057907348242811334
inflation;2014-04-30;207.0;0.006;0.006
hicp;2014-05-31;;100.28;-0.004566210045662039
inflation;2014-05-31;208.0;0.001;0.001
gdp_growth;2014-06-30;73.0;0.014;0.014
hicp;2014-06-30;;99.92;-0.0035899481451934527
hpi;2014-06-30;77.0;0.969;0.006230529595015582
inflation;2014-06-30;209.0;0.003;0.003
hicp;2014-07-31;;100.26;0.003402722177742228
inflation;2014-07-31;210.0;0.003;0.003
hicp;2014-08-31;;100.14;-0.0011968880909635402
inflation;2014-08-31;211.0;0.004;0.004
gdp_growth;2014-09-30;74.0;0.011;0.011
hicp;2014-09-30;;100.12;-0.0001997203914519275
hpi;2014-09-30;78.0;0.978;0.009287925696594436
inflation;2014-09-30;212.0;0.003;0.003
hicp;2014-10-31;;100.0;-0.0011985617259289308
inflation;2014-10-31;213.0;0.004;0.004
hicp;2014-11-30;;99.27;-0.00730000000000004
inflation;2014-11-30;214.0;0.003;0.003
gdp_growth;2014-12-31;75.0;0.018;0.018
hicp;2014-12-31;;99.04;-0.0023169134683186238
hpi;2014-12-31;79.0;0.979;0.0010224948875255633
inflation;2014-12-31;215.0;-0.001;-0.001
unemployment_rate;2014-12-31;44.0;0.074;0.074
hicp;2015-01-31;;97.82;-0.012318255250404008
inflation;2015-01-31;216.0;-0.007;-0.007
hicp;2015-02-28;;98.62;0.008178286648947162
inflation;2015-02-28;217.0;-0.005;-0.005
gdp_growth;2015-03-31;76.0;0.019;0.019
hicp;2015-03-31;;99.88;0.012776313121070684
hpi;2015-03-31;80.0;0.986;0.007150153217568954
inflation;2015-03-31;218.0;-0.003;-0.003
hicp;2015-04-30;;100.71;0.008309971966359615
inflation;2015-04-30;219.0;0.0;0.0
hicp;2015-05-31;;100.97;0.0025816701419919086
inflation;2015-05-31;220.0;0.007;0.007
gdp_growth;2015-06-30;77.0;0.021;0.021
hicp;2015-06-30;;100.4;-0.005645241160740747
hpi;2015-06-30;81.0;0.994;0.00811359026369169
inflation;2015-06-30;221.0;0.005;0.005
hicp;2015-07-31;;101.07;0.006673306772908241
inflation;2015-07-31;222.0;0.008;0.008
hicp;2015-08-31;;100.58;-0.004848125061838279
inflation;2015-08-31;223.0;0.004;0.004
gdp_growth;2015-09-30;78.0;0.025;0.025
hicp;2015-09-30;;100.4;-0.0017896202028235496
hpi;2015-09-30;82.0;1.007;0.013078470824949598
inflation;2015-09-30;224.0;0.003;0.003
hicp;2015-10-31;;100.4;0.0
inflation;2015-10-31;225.0;0.004;0.004
hicp;2015-11-30;;99.64;-0.007569721115537899
inflation;2015-11-30;226.0;0.004;0.004
gdp_growth;2015-12-31;79.0;0.014;0.014
hicp;2015-12-31;;99.53;-0.0011039743075070196
hpi;2015-12-31;83.0;1.013;0.0059582919563058645
inflation;2015-12-31;227.0;0.005;0.005
unemployment_rate;2015-12-31;45.0;0.069;0.069
hicp;2016-01-31;;98.03;-0.015070832914699085
inflation;2016-01-31;228.0;0.002;0.002
hicp;2016-02-29;;98.94;0.009282872590023427
inflation;2016-02-29;229.0;0.003;0.003
gdp_growth;2016-03-31;80.0;0.021;0.021
hicp;2016-03-31;;100.4;0.014756418031130059
hpi;2016-03-31;84.0;1.026;0.012833168805528256
inflation;2016-03-31;230.0;0.005;0.005
hicp;2016-04-30;;100.51;0.0010956175298804723
inflation;2016-04-30;231.0;-0.002;-0.002
hicp;2016-05-31;;100.75;0.0023878221072529586
inflation;2016-05-31;232.0;-0.002;-0.002
gdp_growth;2016-06-30;81.0;0.023;0.023
hicp;2016-06-30;;100.2;-0.005459057071960269
hpi;2016-06-30;85.0;1.037;0.010721247563352727
inflation;2016-06-30;233.0;-0.002;-0.002
hicp;2016-07-31;;100.5;0.0029940119760478758
inflation;2016-07-31;234.0;-0.006;-0.006
hicp;2016-08-31;;100.67;0.001691542288557231
inflation;2016-08-31;235.0;0.001;0.001
gdp_growth;2016-09-30;82.0;0.021;0.021
hicp;2016-09-30;;100.31;-0.0035760405284593166
hpi;2016-09-30;86.0;1.063;0.025072324011571865
inflation;2016-09-30;236.0;-0.001;-0.001
hicp;2016-10-31;;100.67;0.0035888744890838343
inflation;2016-10-31;237.0;0.003;0.003
hicp;2016-11-30;;100.02;-0.006456739843051611
inflation;2016-11-30;238.0;0.004;0.004
gdp_growth;2016-12-31;83.0;0.022;0.022
hicp;2016-12-31;;100.27;0.0024995000999800043
hpi;2016-12-31;87.0;1.075;0.011288805268109136
inflation;2016-12-31;239.0;0.007;0.007
unemployment_rate;2016-12-31;46.0;0.06;0.06
hicp;2017-01-31;;99.64;-0.006283035803330961
inflation;2017-01-31;240.0;0.016;0.016
hicp;2017-02-28;;100.58;0.00943396226415092
inflation;2017-02-28;241.0;0.017;0.017
gdp_growth;2017-03-31;84.0;0.032;0.032
hicp;2017-03-31;;101.03;0.004474050507059086
hpi;2017-03-31;88.0;1.096;0.019534883720930353
inflation;2017-03-31;242.0;0.006;0.006
hicp;2017-04-30;;101.94;0.009007225576561384
inflation;2017-04-30;243.0;0.014;0.014
hicp;2017-05-31;;101.49;-0.004414361389052412
inflation;2017-05-31;244.0;0.007;0.007
gdp_growth;2017-06-30;85.0;0.03;0.03
hicp;2017-06-30;;101.17;-0.0031530200019705703
hpi;2017-06-30;89.0;1.117;0.019160583941605754
inflation;2017-06-30;245.0;0.01;0.01
hicp;2017-07-31;;102.0;0.008204013047346035
inflation;2017-07-31;246.0;0.015;0.015
hicp;2017-08-31;;102.18;0.001764705882353008
inflation;2017-08-31;247.0;0.015;0.015
gdp_growth;2017-09-30;86.0;0.028;0.028
hicp;2017-09-30;;101.75;-0.00420825993345084
hpi;2017-09-30;90.0;1.144;0.024171888988361607
inflation;2017-09-30;248.0;0.014;0.014
hicp;2017-10-31;;101.97;0.002162162162162151
inflation;2017-10-31;249.0;0.013;0.013
hicp;2017-11-30;;101.57;-0.003922722369324367
inflation;2017-11-30;250.0;0.015;0.015
gdp_growth;2017-12-31;87.0;0.026;0.026
hicp;2017-12-31;;101.49;-0.0007876341439401231
hpi;2017-12-31;91.0;1.163;0.016608391608391723
inflation;2017-12-31;251.0;0.012;0.012
unemployment_rate;2017-12-31;47.0;0.049;0.049
hicp;2018-01-31;;101.12;-0.0036456793772784548
inflation;2018-01-31;252.0;0.015;0.015
hicp;2018-02-28;;101.84;0.0071202531645569505
inflation;2018-02-28;253.0;0.013;0.013
gdp_growth;2018-03-31;88.0;0.026;0.026
hicp;2018-03-31;;102.06;0.0021602513747054092
hpi;2018-03-31;92.0;1.194;0.026655202063628473
inflation;2018-03-31;254.0;0.01;0.01
hicp;2018-04-30;;102.99;0.009112286890064596
inflation;2018-04-30;255.0;0.01;0.01
hicp;2018-05-31;;103.41;0.004078065831634156
inflation;2018-05-31;256.0;0.019;0.019
gdp_growth;2018-06-30;89.0;0.027;0.027
hicp;2018-06-30;;102.85;-0.005415337008026325
hpi;2018-06-30;93.0;1.216;0.01842546063651593
inflation;2018-06-30;257.0;0.017;0.017
hicp;2018-07-31;;103.96;0.010792416140009718
inflation;2018-07-31;258.0;0.019;0.019
hicp;2018-08-31;;104.09;0.001250480954213252
inflation;2018-08-31;259.0;0.019;0.019
gdp_growth;2018-09-30;90.0;0.022;0.022
hicp;2018-09-30;;103.36;-0.007013161687001671
hpi;2018-09-30;94.0;1.249;0.027138157894736958
inflation;2018-09-30;260.0;0.016;0.016
hicp;2018-10-31;;103.89;0.005127708978328184
inflation;2018-10-31;261.0;0.019;0.019
hicp;2018-11-30;;103.37;-0.005005294061026047
inflation;2018-11-30;262.0;0.018;0.018
gdp_growth;2018-12-31;91.0;0.019;0.019
hicp;2018-12-31;;103.35;-0.00019347973299806744
hpi;2018-12-31;95.0;1.267;0.014411529223378537
inflation;2018-12-31;263.0;0.018;0.018
unemployment_rate;2018-12-31;48.0;0.038;0.038
hicp;2019-01-31;;103.13;-0.0021286889211417402
inflation;2019-01-31;264.0;0.02;0.02
hicp;2019-02-28;;104.44;0.012702414428391373
inflation;2019-02-28;265.0;0.026;0.026
gdp_growth;2019-03-31;92.0;0.018;0.018
hicp;2019-03-31;;104.98;0.005170432784373863
hpi;2019-03-31;96.0;1.289;0.01736385161799528
inflation;2019-03-31;266.0;0.029;0.029
hicp;2019-04-30;;106.11;0.010763955039055015
inflation;2019-04-30;267.0;0.03;0.03
hicp;2019-05-31;;105.82;-0.0027330129111300186
inflation;2019-05-31;268.0;0.023;0.023
gdp_growth;2019-06-30;93.0;0.019;0.019
hicp;2019-06-30;;105.67;-0.001417501417501337
hpi;2019-06-30;97.0;1.304;0.01163692785104742
inflation;2019-06-30;269.0;0.027;0.027
hicp;2019-07-31;;106.67;0.009463423866754991
inflation;2019-07-31;270.0;0.026;0.026
hicp;2019-08-31;;107.32;0.0060935595762631614
inflation;2019-08-31;271.0;0.031;0.031
gdp_growth;2019-09-30;94.0;0.021;0.021
hicp;2019-09-30;;106.16;-0.010808796123742049
hpi;2019-09-30;98.0;1.327;0.01763803680981588
inflation;2019-09-30;272.0;0.027;0.027
hicp;2019-10-31;;106.82;0.0062170308967595764
inflation;2019-10-31;273.0;0.028;0.028
hicp;2019-11-30;;106.01;-0.007582849653622806
inflation;2019-11-30;274.0;0.026;0.026
gdp_growth;2019-12-31;95.0;0.02;0.02
hicp;2019-12-31;;106.24;0.002169606640882839
hpi;2019-12-31;99.0;1.346;0.014318010550113133
inflation;2019-12-31;275.0;0.028;0.028
unemployment_rate;2019-12-31;49.0;0.034;0.034
hicp;2020-01-31;;104.85;-0.013083584337349404
inflation;2020-01-31;276.0;0.017;0.017
hicp;2020-02-29;;105.77;0.008774439675727247
inflation;2020-02-29;277.0;0.013;0.013
gdp_growth;2020-03-31;96.0;-0.003;-0.003
hicp;2020-03-31;;106.09;0.003025432542308853
hpi;2020-03-31;100.0;1.375;0.021545319465081657
inflation;2020-03-31;278.0;0.011;0.011
hicp;2020-04-30;;107.14;0.009897257045904394
inflation;2020-04-30;279.0;0.01;0.01
hicp;2020-05-31;;106.94;-0.0018667164457719138
inflation;2020-05-31;280.0;0.011;0.011
gdp_growth;2020-06-30;97.0;-0.088;-0.088
hicp;2020-06-30;;107.45;0.004769029362259258
hpi;2020-06-30;101.0;1.402;0.019636363636363573
inflation;2020-06-30;281.0;0.017;0.017
hicp;2020-07-31;;108.42;0.009027454630060482
inflation;2020-07-31;282.0;0.016;0.016
hicp;2020-08-31;;107.65;-0.007102010699132965
inflation;2020-08-31;283.0;0.003;0.003
gdp_growth;2020-09-30;98.0;-0.033;-0.033
hicp;2020-09-30;;107.19;-0.0042731072921505615
hpi;2020-09-30;102.0;1.435;0.023537803138373854
inflation;2020-09-30;284.0;0.01;0.01
hicp;2020-10-31;;108.05;0.008023136486612552
inflation;2020-10-31;285.0;0.012;0.012
hicp;2020-11-30;;106.72;-0.012309116149930572
inflation;2020-11-30;286.0;0.007;0.007
gdp_growth;2020-12-31;99.0;-0.029;-0.029
hicp;2020-12-31;;107.22;0.0046851574212893555
hpi;2020-12-31;103.0;1.464;0.020209059233449417
inflation;2020-12-31;287.0;0.009;0.009
unemployment_rate;2020-12-31;50.0;0.038;0.038
hicp;2021-01-31;;106.51;-0.006621898899458998
inflation;2021-01-31;288.0;0.016;0.016
hicp;2021-02-28;;107.76;0.011735987231245892
inflation;2021-02-28;289.0;0.019;0.019
gdp_growth;2021-03-31;100.0;-0.011;-0.011
hicp;2021-03-31;;108.09;0.0030623608017817214
hpi;2021-03-31;104.0;1.517;0.036202185792349684
inflation;2021-03-31;290.0;0.019;0.019
hicp;2021-04-30;;108.95;0.007956332685724854
inflation;2021-04-30;291.0;0.017;0.017
hicp;2021-05-31;;109.11;0.0014685635612666048
inflation;2021-05-31;292.0;0.02;0.02
gdp_growth;2021-06-30;101.0;0.118;0.118
hicp;2021-06-30;;109.27;0.0014664100449087764
hpi;2021-06-30;105.0;1.584;0.04416611733684916
inflation;2021-06-30;293.0;0.017;0.017
hicp;2021-07-31;;109.96;0.006314633476709049
inflation;2021-07-31;294.0;0.014;0.014
hicp;2021-08-31;;110.54;0.00527464532557305
inflation;2021-08-31;295.0;0.027;0.027
gdp_growth;2021-09-30;102.0;0.069;0.069
hicp;2021-09-30;;110.37;-0.001537904830830484
hpi;2021-09-30;106.0;1.686;0.06439393939393931
inflation;2021-09-30;296.0;0.03;0.03
hicp;2021-10-31;;112.1;0.015674549243453743
inflation;2021-10-31;297.0;0.037;0.037
hicp;2021-11-30;;113.02;0.008206958073148989
inflation;2021-11-30;298.0;0.059;0.059
gdp_growth;2021-12-31;103.0;0.074;0.074
hicp;2021-12-31;;114.09;0.009467350911343191
hpi;2021-12-31;107.0;1.751;0.03855278766310792
inflation;2021-12-31;299.0;0.064;0.064
unemployment_rate;2021-12-31;51.0;0.042;0.042
hicp;2022-01-31;;114.61;0.004557805241475993
inflation;2022-01-31;300.0;0.076;0.076
hicp;2022-02-28;;115.58;0.008463484861704902
inflation;2022-02-28;301.0;0.073;0.073
gdp_growth;2022-03-31;104.0;0.064;0.064
hicp;2022-03-31;;120.7;0.044298321508911616
hpi;2022-03-31;108.0;1.824;0.04169046259280421
inflation;2022-03-31;302.0;0.117;0.117
hicp;2022-04-30;;121.16;0.003811101905550901
inflation;2022-04-30;303.0;0.112;0.112
hicp;2022-05-31;;120.21;-0.007840871574777178
inflation;2022-05-31;304.0;0.102;0.102
gdp_growth;2022-06-30;105.0;0.052;0.052
hicp;2022-06-30;;120.13;-0.0006655020380999775
hpi;2022-06-30;109.0;1.875;0.027960526315789436
inflation;2022-06-30;305.0;0.099;0.099
hicp;2022-07-31;;122.74;0.021726462998418378
inflation;2022-07-31;306.0;0.116;0.116
hicp;2022-08-31;;125.63;0.02354570637119114
inflation;2022-08-31;307.0;0.137;0.137
gdp_growth;2022-09-30;106.0;0.03;0.03
hicp;2022-09-30;;129.2;0.028416779431664357
hpi;2022-09-30;110.0;1.886;0.005866666666666613
inflation;2022-09-30;308.0;0.171;0.171
hicp;2022-10-31;;130.92;0.013312693498452004
inflation;2022-10-31;309.0;0.168;0.168
hicp;2022-11-30;;125.81;-0.03903146959975547
inflation;2022-11-30;310.0;0.113;0.113
gdp_growth;2022-12-31;107.0;0.029;0.029
hicp;2022-12-31;;126.64;0.0065972498211588765
hpi;2022-12-31;111.0;1.841;-0.023860021208907706
inflation;2022-12-31;311.0;0.11;0.11
unemployment_rate;2022-12-31;52.0;0.035;0.035
hicp;2023-01-31;;124.23;-0.019030322173089045
inflation;2023-01-31;312.0;0.084;0.084
hicp;2023-02-28;;125.9;0.0134428076954037
inflation;2023-02-28;313.0;0.089;0.089
gdp_growth;2023-03-31;108.0;0.019;0.019
hicp;2023-03-31;;126.16;0.0020651310563938913
hpi;2023-03-31;112.0;1.812;-0.01575230852797388
inflation;2023-03-31;314.0;0.045;0.045
hicp;2023-04-30;;128.17;0.015932149651236453
inflation;2023-04-30;315.0;0.058;0.058
hicp;2023-05-31;;128.41;0.0018725130685808623
inflation;2023-05-31;316.0;0.068;0.068
gdp_growth;2023-06-30;109.0;-0.003;-0.003
hicp;2023-06-30;;127.78;-0.004906159956389654
hpi;2023-06-30;113.0;1.778;-0.01876379690949229
inflation;2023-06-30;317.0;0.064;0.064
hicp;2023-07-31;;129.25;0.011504147753952096
inflation;2023-07-31;318.0;0.053;0.053
hicp;2023-08-31;;129.9;0.005029013539651882
inflation;2023-08-31;319.0;0.034;0.034
gdp_growth;2023-09-30;110.0;-0.007;-0.007
hicp;2023-09-30;;128.81;-0.008391070053887631
hpi;2023-09-30;114.0;1.8;0.012373453318335219
inflation;2023-09-30;320.0;-0.003;-0.003
hicp;2023-10-31;;129.56;0.005822529306730844
inflation;2023-10-31;321.0;-0.01;-0.01
hicp;2023-11-30;;127.63;-0.014896573016363128
hicp;2023-12-31;;127.88;0.0019587871190159052
unemployment_rate;2023-12-31;51.0;0.042;0.042
hicp;2024-01-31;;128.08;0.0015639662183298175
hicp;2024-02-29;;129.29;0.009447220487195342
hicp;2024-03-31;;130.09;0.006187640188723114
hicp;2024-04-30;;131.47;0.01060804058728569
hicp;2024-05-31;;131.85;0.0028903932456073285
hicp;2024-06-30;;132.07;0.0016685627607129227
hicp;2024-07-31;;133.73;0.012569092148103254
hicp;2024-08-31;;134.22;0.0036640993045689756
hicp;2024-09-30;;133.01;-0.00901504991804506
hicp;2024-10-31;;133.85;0.006315314637997169
hicp;2024-11-30;;132.47;-0.010310048561822903
hicp;2024-12-31;;132.92;0.003396995546161309
